#,In cue,Out cue,Duration,Speaker,Dialogue,Annotations,Error Type,Segment,Selectable,ASSENT,CAUSE,CERTITUDE,COGNITION,COGPROC,FOCUSFUTURE,FOCUSPAST,FOCUSPRESENT,PRONOUN,SOCIAL,TENTAT,TIME
1,00:00:00:10,00:00:00:23,00:00:00:13,Student 1,Yeah.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
2,00:00:01:25,00:00:07:09,00:00:05:14,Student 1,I think I I watched all the the one that celebrity like,,,a,yes,0,0,0,2,1,0,1,0,1,1,0,0
3,00:00:07:22,00:00:08:04,00:00:00:12,Student 2,Oh.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
4,00:00:08:05,00:00:08:14,00:00:00:09,Student 1,Yes.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
5,00:00:08:24,00:00:10:14,00:00:01:20,Teacher,"Oh, sorry, microphone check one, two, three.",,,a,,0,0,0,0,0,0,0,0,0,0,0,0
6,00:00:10:24,00:00:11:13,00:00:00:19,Student 1,Are we?,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
7,00:00:11:13,00:00:12:08,00:00:00:25,Teacher,Right.,,,a,,0,0,0,0,0,0,0,0,0,0,0,0
8,00:00:13:17,00:00:15:07,00:00:01:20,Student 1,"Did you say, did you say your name?",,,a,yes,0,0,0,0,0,0,1,0,3,4,0,0
9,00:00:15:23,00:00:16:26,00:00:01:03,Student 2,No I just said Marlin. Okay.,,,a,yes,0,0,0,0,0,0,1,0,0,1,0,0
10,00:00:20:11,00:00:27:14,00:00:07:03,Student 1,"The one where the the the B list celebrities tried to do the Navy SEALs test. Oh, my gosh. I love that one. Yeah.",,,a,yes,0,0,0,0,0,0,1,0,2,2,0,0
11,00:00:27:14,00:00:29:16,00:00:02:02,Student 3,I love that. Yeah.,,,a,yes,0,0,0,0,0,0,0,0,0,1,0,0
12,00:00:29:16,00:00:30:17,00:00:01:01,Student 1,"Anyway, yeah.",,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
13,00:00:32:03,00:00:34:26,00:00:02:23,Student 1,They're like doing all these crazy jumps and stuff.,,,a,yes,0,0,0,1,0,0,0,1,1,0,0,0
14,00:00:35:19,00:00:43:08,00:00:07:19,Teacher,"Alright, here's the, here's the task. This, these balance puzzles should have mathematics, pretty sure, because I can see you guys looking with recognition at the diagrams.",,,a,,0,1,0,5,5,0,0,3,2,2,1,0
15,00:00:43:08,00:00:44:19,00:00:01:11,Student 1,fun. but yeah. Yes.,,,a,yes,0,0,0,1,1,0,0,0,0,0,0,0
16,00:00:46:04,00:01:06:29,00:00:20:25,Teacher,"For those of you who are not familiar, in these two diagrams, all triangles weigh the same as each other, all squares weigh the same as each other. Um, so you want to come up at your tables with one thing that must be true, one thing that could be true, and one thing that can't possibly be true about each of these diagrams. And they're up here and I'm going to pass out a paper for you as well.",,,a,,0,0,0,11,9,1,0,3,12,6,1,0
17,01:07:07,01:09:23,00:00:02:16,Student 1,"And triangles weigh the same, and all squares weigh the same.",,,a,yes,0,0,0,1,0,0,0,0,0,0,0,0
18,01:09:23,01:12:12,00:00:02:19,Student 2,"Oh, interesting. Each diagram. Thank you.",,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
19,01:14:02,01:17:15,00:00:03:13,Student 1,each diagram. One thing that it must be true.,,,a,yes,0,0,0,1,1,0,0,0,2,0,0,0
20,01:27:16,01:28:28,00:00:01:12,Student 2,A triangle is heavier.,,,a,yes,0,0,0,0,0,0,0,1,0,0,0,0
21,01:28:28,01:31:27,00:00:02:29,Student 1,The triangle is heavier. The value is greater.,,,a,yes,0,0,0,0,0,0,0,2,0,0,0,0
22,01:31:28,01:33:14,00:00:01:16,Student 3,Triangle must be heavier. Yeah.,,,a,yes,0,0,0,1,1,0,0,0,0,0,0,0
23,01:33:14,01:36:20,00:00:03:06,Student 2,So should we write that out? Do we Sure.,,,a,yes,0,0,0,1,1,0,0,0,3,3,0,0
24,01:37:12,01:37:25,00:00:00:13,Student 3,Okay.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
25,01:37:25,01:41:25,00:00:04:00,Student 1,Triangle must be heavier.,,,a,yes,0,0,0,1,1,0,0,0,0,0,0,0
26,01:42:25,01:43:21,00:00:00:26,Student 3,But by how much?,,,a,yes,0,1,0,1,1,0,0,0,0,0,0,0
27,01:44:09,01:44:26,00:00:00:17,Student 1,"Oh, there's the question.",,,a,yes,0,0,0,0,0,0,0,1,0,0,0,0
28,01:45:10,01:47:04,00:00:01:24,Student 2,I think that's what this gets into the deeper stuff.,,,a,yes,0,0,0,1,1,0,0,2,3,0,0,0
29,01:47:19,01:50:23,00:00:03:04,Student 3,By about three squares and a circle.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
30,01:51:17,01:52:16,00:00:00:29,Student 2,One thing that could be true.,,,a,yes,0,0,0,1,1,0,0,0,1,0,0,0
31,01:53:11,01:57:13,00:00:04:02,Student 3,"The three squares and the circle could, oh but that has to be true.",,,a,yes,0,0,0,1,1,0,0,1,1,0,0,0
32,01:57:28,01:58:20,00:00:00:22,Student 1,I think it could be true.,,,a,yes,0,0,0,2,2,0,0,0,1,0,0,0
33,01:58:20,01:59:26,00:00:01:06,Student 2,"No, no, could be.",,,a,yes,0,0,0,1,1,0,0,0,0,0,0,0
34,01:59:26,02:00:10,00:00:00:14,Student 3,Could be?,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
35,02:00:17,02:05:01,00:00:04:14,Student 2,"Oh, the three could be true. The circle could be the same as the square.",,,a,yes,0,0,0,3,3,0,0,0,0,0,0,0
36,02:05:01,02:05:15,00:00:00:14,Student 3,"Oh, three squares.",,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
37,02:06:05,02:08:08,00:00:02:03,Student 1,Like a circle could be equal to a square.,,,a,yes,0,0,0,1,1,0,0,0,0,0,0,0
38,02:08:08,02:09:16,00:00:01:08,Student 2,That was the first thing I thought too.,,,a,yes,0,0,0,1,1,0,1,0,0,0,0,0
39,02:09:16,02:11:15,00:00:02:00,Student 1,"Circle, which could be equal to a green triangle.",,,a,yes,0,0,0,2,2,0,0,0,1,0,0,0
40,02:11:15,02:13:17,00:00:02:02,Student 2,The circle could be heavier than a square.,,,a,yes,0,0,0,2,2,0,0,0,0,0,0,0
41,02:13:17,02:15:24,00:00:02:07,Student 1,"Ah, uh-huh. Uh-huh. Two, three squares.",,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
42,02:15:24,02:17:09,00:00:01:15,Student 2,Or a square. Yeah.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
43,02:17:15,02:20:00,00:00:02:15,Student 1,"Like, no, like, sure.",,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
44,02:20:25,02:22:04,00:00:01:09,Student 2,One thing that cannot be true.,,,a,yes,0,0,0,1,1,0,0,1,1,0,0,0
45,02:22:20,02:23:00,00:00:00:10,Student 1,That's easy.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
46,02:23:06,02:26:24,00:00:03:18,Student 3,"These two could be equal to and then that would be equal to this as well, no?",,,a,yes,0,0,0,2,2,0,0,0,2,0,0,1
47,02:27:21,02:29:10,00:00:01:19,Student 2,one the circle.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
48,02:29:17,02:29:26,00:00:00:09,Student 1,Could be.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
49,02:30:17,02:39:07,00:00:08:20,Student 3,"These three squares and the circle could be half and half. They'd be equal to each other and that, in total, could be equal to the triangle as well, right?",,,a,yes,0,0,0,3,3,0,0,0,0,0,0,0
50,02:39:07,02:41:26,00:00:02:19,Student 2,"Or it could just be this one's really, really heavy.",,,a,yes,0,0,1,2,2,0,0,0,2,0,0,0
51,02:41:26,02:43:24,00:00:01:28,Student 1,"Okay. So could be. And those are so light, right?",,,a,yes,0,0,0,1,1,0,0,1,1,0,0,0
52,02:44:11,02:44:27,00:00:00:16,Student 2,Yeah.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
53,02:45:00,02:46:27,00:00:01:27,Student 1,Or vice Yeah. Or circle,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
54,02:48:07,02:51:24,00:00:03:17,Student 2,could be heavier.,,,a,yes,0,0,0,1,1,0,0,0,0,0,0,0
55,02:54:09,02:55:18,00:00:01:09,Student 1,could possibly be heavier than it is.,,,a,yes,0,0,0,3,3,0,0,0,1,0,1,0
56,02:56:06,02:58:04,00:00:02:00,Student 2,Is enough to balance it. Yeah.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
57,02:58:19,03:01:26,00:00:03:07,Student 1,It could be heavier than the squares. Possibly the squares. Yeah.,,,a,yes,0,0,0,2,2,0,0,0,0,0,0,0
58,03:02:26,03:07:22,00:00:04:26,Student 2,One thing that cannot be true is the squares cannot be heavier than the triangle.,,,a,yes,0,0,0,4,4,0,0,3,1,0,0,0
59,03:07:26,03:08:14,00:00:00:18,Student 1,Mmm.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
60,03:13:08,03:15:26,00:00:02:18,Student 1,One square is not heavier than the triangle.,,,a,yes,0,0,0,2,2,0,0,1,0,0,0,0
61,03:15:26,03:17:15,00:00:01:19,Student 2,"That's true. Ah, uh-huh, one square.",,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
