#,In cue,Out cue,Duration,Speaker,Language,Dialogue,Annotations,Error Type,Segment,Selectable
1,,00:00:01:08,00:00:01:08,Student 1,English,Because we were on the field trip and you weren't there Tuesday.,,,a,
2,00:00:01:10,00:00:02:13,00:00:01:03,Teacher,English,Tell me what page we're on.,,,a,
3,00:00:03:13,00:00:04:13,00:00:01:00,Student 2,English,250,,,a,
4,00:00:04:15,00:00:05:02,00:00:00:17,Student 3,English,250,,,a,
5,00:00:05:04,00:00:05:25,00:00:00:21,Student 1,English,250,,,a,
6,00:00:06:11,00:00:29:00,00:00:22:19,Teacher,English,"Excellent, get your stuff there and I want to hear you and your teammates talking what must be true, could be true and cannot possibly be true about the weighs of the triangles, squares and circles.",,,a,
7,00:00:29:11,00:00:34:29,00:00:05:18,Student 4,English,It cannot possibly be one and one because it's not equal.,,,a,yes
8,00:00:35:00,00:00:37:06,00:00:02:06,Student 1,English,The triangle has to be heavier than the square.,,,a,yes
9,00:00:37:08,00:00:43:02,00:00:05:24,Student 4,English,"Yes, so it can't be one and one.",,,a,yes
10,00:00:52:02,00:00:56:03,00:00:04:01,Student 4,English,So one thing that must be true is...,,,a,yes
11,00:01:01:23,00:01:03:13,00:00:01:20,Student 1,English,[unintelligible],,,a,
12,00:01:03:22,00:01:06:11,00:00:02:19,Student 3,English,I don't have them but [unintelligible].,,,a,
13,00:01:11:17,00:01:13:15,00:00:01:28,Student 1,English,One thing that could be true...,,,a,yes
14,00:01:13:26,00:01:15:02,00:00:01:06,Student 4,English,Could be true...,,,a,yes
15,00:01:15:20,00:01:16:26,00:00:01:06,Student 1,English,"Wait, what is...",,,a,yes
16,00:01:20:14,00:01:30:13,00:00:09:29,Student 4,English,"That the triangle equals 16, the square...",,,a,yes
17,00:01:35:18,00:01:45:00,00:00:09:12,Student 4,English,"It could be that the triangle is 16, the square is 5 because 5 times 3 is 15 plus 1.",,,a,yes
18,00:01:48:23,00:01:50:15,00:00:01:22,Student 1,English,"16, what?",,,a,yes
19,00:01:52:08,00:02:02:00,00:00:09:20,Student 3,English,"The triangle could be 16 and each of these could be 5 so that 5 times 3, 15 plus this could be 1, so it's 16.",,,a,yes
20,00:02:13:03,00:02:14:26,00:00:01:23,Student 1,English,Where is what?,,,a,yes
21,00:02:15:21,00:02:16:04,00:00:00:13,Student 4,English,What?,,,a,yes
22,00:02:19:00,00:02:19:25,00:00:00:25,Student 4,English,It could be...,,,a,yes
23,00:02:19:28,00:02:20:17,00:00:00:19,Student 1,English,It's equals.,,,a,yes
24,00:02:21:20,00:02:22:18,00:00:00:28,Student 2,English,[Student 2].,,,a,
25,00:02:36:05,00:02:37:00,00:00:00:25,Student 1,English,[Student 1].,,,a,
26,00:02:38:05,00:02:38:23,00:00:00:18,Student 4,English,[Student 4].,,,a,
27,00:02:43:11,00:02:45:11,00:00:02:00,Student 3,English,It could weigh 16 pounds?,,,a,yes
28,00:02:46:29,00:02:49:04,00:00:02:05,Student 4,English,"I don't know, I just think equals 16.",,,a,yes
29,00:02:51:27,00:02:54:05,00:00:02:08,Student 1,English,The circle is the heaviest.,,,a,yes
30,00:03:32:26,00:03:34:13,00:00:01:17,Student 3,English,[unintelligible],,,a,
31,00:03:34:16,00:03:35:12,00:00:00:26,Student 4,English,No.,,,a,yes
32,00:03:38:16,00:03:39:23,00:00:01:07,Student 3,English,But like...,,,a,yes
33,00:03:39:25,00:03:45:01,00:00:05:06,Student 4,English,"No, because if it's the heaviest then it's already heavier than that.",,,a,yes
34,00:03:48:08,00:03:59:25,00:00:11:17,Teacher,English,"Alright, that was such a long set of announcements and I don't want to cut off your conversations if you ended them, so how many more minutes do we feel like we need for this warm-up?",,,a,
35,00:04:00:08,00:04:00:18,00:00:00:10,Speaker 2,English,Two.,,,a,
36,00:04:00:20,00:04:03:00,00:00:02:10,Teacher,English,Give me a thumbs up if you think you're cool.,,,a,
37,00:04:03:02,00:04:15:17,00:00:12:15,Teacher,English,"Okay, I saw some of you writing quietly while the announcements were happening so why don't you also share your thoughts and ideas with your team.",,,a,
38,00:04:15:19,00:04:20:15,00:00:04:26,Teacher,English,"Once you've all shared, I want you guys to come up with one more thing for any one of those.",,,a,
39,00:04:20:23,00:04:21:04,00:00:00:11,Student 4,English,Okay.,,,a,yes
40,00:04:21:24,00:04:28:02,00:00:06:08,Student 4,English,I wrote one thing that must be true: triangle heavier than the square.,,,a,yes
41,00:04:29:16,00:04:37:05,00:00:07:19,Student 3,English,"I said one that could be true is triangle is 16, square is 5 and circle is 1.",,,a,yes
42,00:04:37:26,00:04:38:11,00:00:00:15,Student 4,English,One thing...,,,a,yes
43,00:04:38:22,00:04:39:09,00:00:00:17,Student 1,English,That what?,,,a,yes
44,00:04:39:17,00:04:40:28,00:00:01:11,Student 4,English,That could not possibly be true.,,,a,yes
45,00:04:41:01,00:04:41:26,00:00:00:25,Student 1,English,That could not?,,,a,yes
46,00:04:41:29,00:04:42:07,00:00:00:08,Student 4,English,Yes.,,,a,yes
47,00:04:42:09,00:04:44:05,00:00:01:26,Student 1,English,The circle is the heaviest.,,,a,yes
48,00:04:45:05,00:04:46:00,00:00:00:25,Student 4,English,What did you write?,,,a,yes
49,00:04:48:00,00:04:52:10,00:00:04:10,Student 2,English,I said that something that could not possibly be true is triangles equals squares.,,,a,yes
50,00:04:53:02,00:05:00:10,00:00:07:06,Student 4,English,"Okay, so now let's come up with one for cannot be possibly or could be or must be.",,,a,yes
51,00:05:01:10,00:05:01:24,00:00:00:14,Student 3,English,"Wait, what?",,,a,yes
52,00:05:01:26,00:05:09:05,00:00:07:09,Student 1,English,"Well, we could do could be because for could be it could be the square equals...",,,a,yes
53,00:05:09:07,00:05:16:19,00:00:07:12,Student 4,English,It could be that equals twenty three.,,,a,yes
54,00:05:16:20,00:05:17:19,00:00:00:29,Student 1,English,Square equals...,,,a,yes
55,00:05:17:20,00:05:18:23,00:00:01:03,Student 3,English,Do we make another one?,,,a,yes
56,00:05:19:04,00:05:25:24,00:00:06:20,Student 4,English,"Yes, so it could be that the triangle equals twenty three, I mean...",,,a,yes
57,00:05:25:27,00:05:26:18,00:00:00:21,Student 4,English,"Wait, sorry.",,,a,yes
58,00:05:27:16,00:05:29:28,00:00:02:12,Student 1,English,"Wait, are we finally coming up with another one for each one?",,,a,yes
59,00:05:29:29,00:05:30:18,00:00:00:19,Student 4,English,Equals...,,,a,yes
60,00:05:30:26,00:05:31:25,00:00:00:29,Student 4,English,"No, just for one.",,,a,yes
61,00:05:31:26,00:05:32:20,00:00:00:24,Teacher,English,"Alright, waterfall.",,,a,
62,00:05:32:21,00:05:35:07,00:00:02:16,Student 4,English,Triangle could equal twenty four.,,,a,yes
63,00:05:35:09,00:05:35:27,00:00:00:18,Teacher,English,Thank you.,,,a,
64,00:05:35:29,00:05:38:09,00:00:02:10,Teacher,English,I would like to call on random students.,,,a,
65,00:05:38:25,00:05:39:16,00:00:00:21,Student 4,English,Square...,,,a,yes
66,00:05:39:26,00:05:41:01,00:00:01:05,Student 1,English,"That would be 16, right?",,,a,yes
67,00:05:41:09,00:05:45:02,00:00:03:23,Teacher,English,Give me a thumbs down if you are [unintelligible].,,,a,
68,00:05:46:11,00:05:47:10,00:00:00:29,Student 1,English,"For could be, right?",,,a,
69,00:05:48:07,00:05:49:23,00:00:01:16,Student 4,English,It doesn't have to be this one.,,,a,
70,00:05:49:24,00:05:50:09,00:00:00:15,Student 3,English,"Wait, Student 4.",,,a,
71,00:05:50:11,00:05:55:06,00:00:04:25,Teacher,English,"Well, nobody cries, it's a safe space here, but I want to give you a chance to [unintelligible].",,,a,
72,00:05:55:24,00:06:01:05,00:00:05:09,Teacher,English,"Everybody said it's kind of cool for me to call on you for one of these, so...",,,a,
1,00:00:01:28,00:00:03:23,00:00:01:25,Teacher,English,"[Unknown Person 2] knows, who else knows?",,,b,
2,00:00:03:25,00:00:05:04,00:00:01:09,Teacher,English,Give me a thumbs up if you know.,,,b,
3,00:00:05:15,00:00:10:28,00:00:05:13,Teacher,English,Because I'm going to do the thing when I'm counting down and you all tell me at the same time.,,,b,
4,00:00:11:06,00:00:12:06,00:00:01:00,Teacher,English,Who knows?,,,b,
5,00:00:12:08,00:00:12:28,00:00:00:20,Unknown Person 1,English,I do.,,,b,
6,00:00:13:02,00:00:13:24,00:00:00:22,Student 3,English,I think I do.,,,b,
7,00:00:14:00,00:00:19:05,00:00:05:05,Teacher,English,"Alright, I have one, two, three, four, five, six, seven.",,,b,
8,00:00:19:07,00:00:20:11,00:00:01:04,Teacher,English,Do I have one here?,,,b,
9,00:00:20:13,00:00:28:04,00:00:07:21,Teacher,English,"Okay, I'm going to count down, you are going to tell me and then you are going to turn and talk to your neighbors and explain why it is that one and how you can tell.",,,b,
10,00:00:28:06,00:00:29:03,00:00:00:27,Student 4,English,Is it Z?,,,b,
11,00:00:29:05,00:00:29:14,00:00:00:09,Student 3,English,Yes.,,,b,
12,00:00:29:16,00:00:29:27,00:00:00:11,Teacher,English,Ready?,,,b,
13,00:00:29:29,00:00:31:04,00:00:01:05,Teacher,English,"Three, two, one.",,,b,
14,00:00:31:06,00:00:32:00,00:00:00:24,All Students,English,Z!,,,b,
15,00:00:33:02,00:00:37:19,00:00:04:17,Student 4,English,Because there's two plus three plus five.,,,b,yes
16,00:00:37:21,00:00:38:02,00:00:00:11,Student 3,English,Yes.,,,b,yes
17,00:00:38:28,00:00:41:14,00:00:02:16,Student 3,English,Two plus three equals five.,,,b,yes
18,00:00:41:16,00:00:45:01,00:00:03:15,Teacher,English,Turn and explain to your neighbors how you can tell that it has to be Z.,,,b,
19,00:00:45:08,00:00:45:26,00:00:00:18,Teacher,English,Go.,,,b,
20,00:00:46:02,00:00:55:15,00:00:09:13,Student 4,English,Because there is two Z and then like one so it's three and then five one so it's five.,,,b,yes
21,00:00:55:17,00:00:59:22,00:00:04:05,Student 4,English,It cannot be this because that is six.,,,b,yes
22,00:00:59:24,00:01:03:28,00:00:04:02,Student 4,English,So I would start with six and then go to two which would be that one.,,,b,yes
23,00:01:04:19,00:01:05:10,00:00:00:21,Student 1,English,What?,,,b,yes
24,00:01:05:16,00:01:07:21,00:00:02:05,Student 4,English,So Z...,,,b,yes
25,00:01:07:24,00:01:08:26,00:00:01:02,Student 1,English,Do you understand this?,,,b,yes
26,00:01:09:05,00:01:09:24,00:00:00:19,Student 2,English,Yes.,,,b,yes
27,00:01:09:26,00:01:10:16,00:00:00:20,Student 1,English,My gosh.,,,b,yes
28,00:01:11:11,00:01:11:24,00:00:00:13,Student 4,English,W...,,,b,yes
29,00:01:11:26,00:01:12:24,00:00:00:28,Student 1,English,Do you understand this?,,,b,yes
30,00:01:13:01,00:01:13:17,00:00:00:16,Student 3,English,Yes.,,,b,yes
31,00:01:13:19,00:01:16:17,00:00:02:28,Student 4,English,"Okay, so it's ZXYW, ZXYW.",,,b,yes
