session_id,file,utt_id,Speaker,Dialogue,start_time,end_time,type,teacherMove,reasoning_annot,KC,problem,mastery,reasoning_session,Unnamed: 14,#,selectable
6,01801e36-4f2a-2a32-202e-61a6d679113c.json,0,TEACHER,Hi! How can I help you?,0:00:00,0.007175926,,,,Calculating Percentage of a Number,Calculate 45% of $71.,1,"The student correctly identified how to convert the percentage to a decimal. While they made an initial calculation error, they corrected it when prompted to check their decimal places, and then successfully solved a highly similar problem without further assistance, indicating mastery of the procedure.",,330,yes
6,01801e36-4f2a-2a32-202e-61a6d679113c.json,1,TEACHER,95% of $71 ? Is that what you wrote?,0.007175926,0.009953704,,,,Calculating Percentage of a Number,Calculate 45% of $71.,1,"The student correctly identified how to convert the percentage to a decimal. While they made an initial calculation error, they corrected it when prompted to check their decimal places, and then successfully solved a highly similar problem without further assistance, indicating mastery of the procedure.",,331,yes
6,01801e36-4f2a-2a32-202e-61a6d679113c.json,2,STUDENT_1,45% of 71$,0.009953704,0.011342593,,,,Calculating Percentage of a Number,Calculate 45% of $71.,1,"The student correctly identified how to convert the percentage to a decimal. While they made an initial calculation error, they corrected it when prompted to check their decimal places, and then successfully solved a highly similar problem without further assistance, indicating mastery of the procedure.",,332,
6,01801e36-4f2a-2a32-202e-61a6d679113c.json,3,TEACHER,Ok great!,0.011342593,0.012037037,TEACHER_MOVE,GIVING_PRAISE,The teacher affirms the student's confirmation of the problem.,Calculating Percentage of a Number,Calculate 45% of $71.,1,"The student correctly identified how to convert the percentage to a decimal. While they made an initial calculation error, they corrected it when prompted to check their decimal places, and then successfully solved a highly similar problem without further assistance, indicating mastery of the procedure.",,333,yes
6,01801e36-4f2a-2a32-202e-61a6d679113c.json,4,TEACHER,Are you allowed to use a calculator?,0.012037037,0.01412037,,,,Calculating Percentage of a Number,Calculate 45% of $71.,1,"The student correctly identified how to convert the percentage to a decimal. While they made an initial calculation error, they corrected it when prompted to check their decimal places, and then successfully solved a highly similar problem without further assistance, indicating mastery of the procedure.",,334,yes
6,01801e36-4f2a-2a32-202e-61a6d679113c.json,5,STUDENT_1,yes,0.01412037,0:13:00,,,,Calculating Percentage of a Number,Calculate 45% of $71.,1,"The student correctly identified how to convert the percentage to a decimal. While they made an initial calculation error, they corrected it when prompted to check their decimal places, and then successfully solved a highly similar problem without further assistance, indicating mastery of the procedure.",,335,
6,01801e36-4f2a-2a32-202e-61a6d679113c.json,6,TEACHER,"Ok, do you know what 45% would be as a decimal?",0:13:00,0:17:00,TEACHER_MOVE,PROMPTING,The teacher encourages the student to provide a specific piece of knowledge needed for the calculation.,Calculating Percentage of a Number,Calculate 45% of $71.,1,"The student correctly identified how to convert the percentage to a decimal. While they made an initial calculation error, they corrected it when prompted to check their decimal places, and then successfully solved a highly similar problem without further assistance, indicating mastery of the procedure.",,336,yes
6,01801e36-4f2a-2a32-202e-61a6d679113c.json,7,STUDENT_1,0.45?,0:17:00,0:18:00,,,,Calculating Percentage of a Number,Calculate 45% of $71.,1,"The student correctly identified how to convert the percentage to a decimal. While they made an initial calculation error, they corrected it when prompted to check their decimal places, and then successfully solved a highly similar problem without further assistance, indicating mastery of the procedure.",,337,
6,01801e36-4f2a-2a32-202e-61a6d679113c.json,8,TEACHER,Awesome!,0:18:00,0.018287037,TEACHER_MOVE,GIVING_PRAISE,The teacher affirms the student's correct response.,Calculating Percentage of a Number,Calculate 45% of $71.,1,"The student correctly identified how to convert the percentage to a decimal. While they made an initial calculation error, they corrected it when prompted to check their decimal places, and then successfully solved a highly similar problem without further assistance, indicating mastery of the procedure.",,338,yes
6,01801e36-4f2a-2a32-202e-61a6d679113c.json,9,TEACHER,so in your calculator you can do 0.41 * 71,0.018287037,0:23:00,TEACHER_MOVE,SCAFFOLDING,The teacher provides a step-by-step instruction for the calculation.,Calculating Percentage of a Number,Calculate 45% of $71.,1,"The student correctly identified how to convert the percentage to a decimal. While they made an initial calculation error, they corrected it when prompted to check their decimal places, and then successfully solved a highly similar problem without further assistance, indicating mastery of the procedure.",,339,yes
