#,In cue,Out cue,Duration,Speaker,Dialogue,Annotations,Error Type,Segment,Selectable,ASSENT,CAUSE,CERTITUDE,COGNITION,COGPROC,FOCUSFUTURE,FOCUSPAST,FOCUSPRESENT,PRONOUN,SOCIAL,TENTAT,TIME
1,00:00:00:26,00:01:06:11,1:05:15,Student 4,So is that the first thing that all the middle school students say when I right? Yeah. And then and then all the high school students say yep.,,,a,yes,0,0,0,2,0,0,0,1,2,2,0,3
2,0:11:06,0:18:03,0:06:27,Student 1,"I got excited because the questions like put up on the board were what I've been, that's been my like situation scenario whatever, the whole day.",,,a,yes,0,1,0,2,2,0,2,1,3,0,1,0
3,0:18:21,0:19:01,0:00:10,Student 3,"Oh, nice.",,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
4,0:19:01,0:22:21,0:03:20,Student 1,"So I was like, finally, someone's saying the question I've been asking.",,,a,yes,0,0,0,1,1,0,2,0,0,2,1,0
5,0:22:21,0:23:09,0:00:18,Student 3,Yay.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
6,0:24:29,0:26:07,0:01:08,Teacher,Do you all say your name into your Not yet.,,,a,,0,0,0,1,0,0,0,0,3,5,0,0
7,0:26:07,0:26:15,0:00:08,Student 1,Not yet.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
8,0:27:27,0:29:10,0:01:13,Student 1,Do we need to turn on anything or no?,,,a,yes,0,0,0,2,2,0,0,0,1,1,1,0
9,0:31:00,0:31:18,0:00:18,Teacher,We're on.,,,a,,0,0,0,0,0,0,0,0,0,0,0,0
10,0:32:21,0:34:21,0:02:00,Student 2,Ashley Shinda Donitis.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
11,0:35:10,0:35:28,0:00:18,Student 4,Michael Barrett.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
12,0:36:26,0:37:25,0:01:00,Student 3,Tracey Shipman.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
13,0:40:15,0:41:22,0:01:07,Student 4,There's so many Michaels. You got to,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
14,0:42:15,0:43:24,0:01:09,Student 2,Ashley Burch.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
15,0:45:10,0:46:13,0:01:03,Student 4,I just went with the first one.,,,a,yes,0,0,0,0,0,0,1,0,0,0,0,0
16,0:46:25,0:47:11,0:00:16,Student 1,I appreciate it.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
17,0:48:15,0:50:23,0:02:08,Student 1,I'm I'm so curious what math we're going to do.,,,a,yes,0,0,0,0,0,1,0,1,2,1,0,0
18,0:52:13,0:55:28,0:03:15,Student 1,It's always fun trying to find like the happy medium that everyone feels like they can,,,a,yes,0,0,0,5,4,0,0,2,2,1,0,1
19,0:56:06,1:05:27,0:09:21,Student 3,"I know, because sometimes when you're so like, um Okay. Yeah, in lower grades like elementary school, it's hard to identify. I'm like, well I guess how do you teach the",,,a,yes,0,2,0,3,3,0,0,2,3,2,1,2
20,1:06:21,1:07:05,0:00:14,Student 1,What do you teach?,,,a,yes,0,0,0,0,0,0,0,0,1,1,0,0
21,1:07:22,1:18:14,0:10:22,Student 3,"I teach fifth grade math. Okay. Well, fifth grade, like all multiple subjects, but yeah, I don't know how I forgot everything that I learned like calculus. I don't know what that is anymore.",,,a,yes,0,1,0,6,5,0,1,3,3,1,0,0
22,1:19:15,1:27:26,0:08:11,Student 2,"I teach high school math and I still if a kid came with an AP Calc tutoring question, I'd be like, well let me like look through that real quick. Let me reteach myself for a second.",,,a,yes,0,0,1,2,2,0,1,0,4,1,1,0
23,1:29:07,1:36:23,0:07:16,Teacher,"All right, here's the, here's the task. This task comes from Illustrative Mathematics grade seven. Some of you were looking with recognition at the finger diagram.",,,a,,0,0,0,1,1,0,1,3,1,1,0,0
24,1:37:02,1:37:21,0:00:19,Teacher,"Um, but yeah.",,,a,,0,0,0,1,1,0,0,0,0,0,0,0
25,1:38:09,1:59:29,0:21:20,Teacher,"So, all, for those of you who are not familiar though, in these two diagrams, all triangles weigh the same as each other, all squares weigh the same as each other. Um so you want to come up at your tables with one thing that must be true, one thing that could be true, and one thing that can't possibly be true about each of these diagrams. And they're up here and I'm going to pass out a paper for you as well.",,,a,,0,0,0,11,9,1,0,3,12,6,1,0
26,2:03:22,2:03:27,0:00:05,Student 4,Okay.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
27,2:07:11,2:08:26,0:01:15,Student 3,Gravity works different.,,,a,yes,0,0,0,0,0,0,0,1,0,0,0,0
28,2:10:20,2:15:02,0:04:12,Student 4,"Must be true, could be true, cannot possibly be true.",,,a,yes,0,0,0,3,3,0,0,1,0,0,1,0
29,2:16:03,2:16:29,0:00:26,Student 4,Never done this before.,,,a,yes,0,0,0,0,0,0,1,0,1,0,0,0
30,2:17:15,2:17:29,0:00:14,Student 1,Actually,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
31,2:18:24,2:30:26,0:12:02,Student 3,"Oh, so like, could it be that one thing that must be true? If we put one triangle on one side and one triangle, another triangle on the other side, it would be level.",,,a,yes,0,0,0,5,5,0,0,0,6,1,0,0
32,2:32:00,2:35:26,0:03:26,Student 1,"That must be true, that a triangle equals a triangle, or a triangle equals a triangle.",,,a,yes,0,0,0,2,2,0,0,0,1,0,1,0
33,2:36:26,2:42:06,0:05:10,Student 4,We need to do three for this and three for this. Right? I think.,,,a,yes,0,0,0,1,1,0,0,0,1,0,0,0
34,2:43:21,2:51:25,0:08:04,Student 3,"Oh, so this diagram has to have something that's true and something that could be true, and something that, okay, for this specific I can't make up my own.",,,a,yes,0,1,0,4,4,0,0,3,5,0,0,0
35,2:52:13,2:57:24,0:05:11,Student 1,"Oh, see, I would think that it's I think what you're saying.",,,a,yes,0,0,0,3,3,0,0,2,4,1,0,0
36,2:57:24,2:58:24,0:01:00,Student 2,"Oh, yeah.",,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
37,2:58:24,3:00:20,0:01:26,Student 3,"Oh, because here we could say that",,,a,yes,0,1,0,2,2,0,0,0,2,2,0,0
38,3:00:20,3:05:27,0:05:07,Student 2,a triangle must be heavier than a square.,,,a,yes,0,0,0,2,2,0,0,0,0,0,0,0
39,3:05:27,3:06:06,0:00:09,Student 3,Yeah.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
40,3:06:17,3:11:27,0:05:10,Student 1,But it could still be true on the right side. I think they do work together in that way.,,,a,yes,0,0,0,3,3,0,0,0,3,1,0,0
41,3:11:27,3:12:12,0:00:15,Student 2,Yeah. Okay.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
42,3:12:12,3:12:20,0:00:08,Student 1,Yep.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
43,3:15:04,3:18:24,0:03:20,Student 3,Very simpler simply we know that a triangle does not equal a square.,,,a,yes,0,0,1,3,3,0,0,1,2,1,0,0
44,3:19:07,3:20:00,0:00:23,Student 1,"Right, that's a must.",,,a,yes,0,0,0,0,0,0,0,1,1,0,0,0
45,3:21:05,3:23:09,0:02:04,Student 3,"Yeah, you can just write it down we can keep track of it.",,,a,yes,0,0,0,2,2,0,0,2,3,3,0,0
46,3:23:09,3:28:29,0:05:20,Student 4,"Although, is this distance greater than this distance?",,,a,yes,0,0,0,1,1,0,0,1,2,0,0,0
47,3:29:12,3:36:23,0:07:11,Student 1,"Oh, so one thing that could be true? So could there be more bar here and that's adding to the weight?",,,a,yes,0,0,0,2,2,0,0,1,2,0,0,0
48,3:37:11,3:38:00,0:00:19,Student 1,Or weight.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
49,3:39:03,3:40:08,0:01:05,Student 1,Or Okay.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
50,3:43:03,3:46:27,0:03:24,Student 2,So does the length of the bar influence the distribution?,,,a,yes,0,0,0,0,0,0,0,1,0,0,0,0
51,3:47:24,3:50:24,0:03:00,Student 3,Are they drawn to scale?,,,a,yes,0,0,0,0,0,0,0,0,1,1,0,0
52,3:52:03,3:54:21,0:02:18,Student 1,I feel like we have to assume that it is.,,,a,yes,0,0,0,1,1,0,0,1,3,1,0,0
53,3:55:00,3:56:08,0:01:08,Student 2,We know.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
54,3:59:22,4:02:11,0:02:19,Student 4,"So, three and three quarters.",,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
55,4:07:29,4:09:21,0:01:22,Student 4,It's about the same. Okay.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
56,4:11:15,4:14:26,0:03:11,Student 1,That That is a very supported piece of the puzzle to establish.,,,a,yes,0,0,0,0,0,0,0,1,0,1,0,0
57,4:22:15,4:25:28,0:03:13,Student 2,So it cannot possibly be true that the square weighs more than the triangle.,,,a,yes,0,0,0,4,4,0,0,1,2,0,1,0
58,4:26:14,4:26:27,0:00:13,Student 1,Right.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
59,4:29:19,4:32:15,0:02:26,Student 3,And I don't think it's possible for them to be the same.,,,a,yes,0,0,0,2,2,0,0,2,2,1,1,0
60,4:32:15,4:32:22,0:00:07,Student 2,Yeah.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
61,4:34:04,4:37:25,0:03:21,Student 2,It could be true that a square and a circle are the same.,,,a,yes,0,0,0,2,2,0,0,1,1,0,0,0
62,4:38:21,4:39:15,0:00:24,Student 3,Mmmhmm.,,,a,yes,0,0,0,0,0,0,0,0,0,0,0,0
